;< 0.5 cm;> 0.5-1 cm;> 1-2 cm;> 2-4 cm;> 4 cm;< 1 year;> 1 year;< 1;1;> 1;egg;larva;nymph;adult;ovoviviparity;isolated eggs, free;isolated eggs, cemented;clutches, cemented or fixed;clutches, free;clutches, terrestrial/in vegetation;asexual reproduction;aquatic passive;aquatic active;aerial passive;aerial active;eggs, statoblasts;cocoons, housings;diapause or dormancy;none;tegument;gill;plastron, spiracle;flier;swimmer;crawler;burrower;interstitial;attached;microorganisms, detritus (< 1mm);dead plant (>= 1mm);living microphytes;living macrophytes;dead animal (>= 1mm);living microinvertebrates;large animals;absorber, deposit feeder;shredder;scraper;filter-feeder;piercer;predator;parasite;river channel;banks, connected side-arms;ponds, pools, disconnected side-arms;marshes, peat bogs;temporary waters;lakes;crenon;epirithron;metarithron;hyporithron;epipotamon;metapotamon;estuary;outside river system;lowlands;piedmont level;alpine level;flags/boulders/cobbles/pebbles;gravel;sand;silt;macrophytes;microphytes;twigs/roots;organic detritus/litter;mud;null;slow (< 25 cm/s);medium (25-50 cm</s);fast (> 50 cm/s);oligotrophic;mesotrophic;eutrophic;freshwater;brackish water;cold (< 15°C);warm (> 15°C);eurythermic;xenosaprobic;oligosaprobic;b-mesosaprobic;a-mesosaprobic;polysaprobic;< 4;> 4-4.5;> 4.5-5;> 5-5.5;> 5.5-6;> 6;;;;;
CODE_TAXON;TAILLE_1;TAILLE_2;TAILLE_3;TAILLE_4;TAILLE_5;LONGEVITE_1;LONGEVITE_2;VOLTINISME_1;VOLTINISME_2;VOLTINISME_3;STADE_AQUATIQUE_1;STADE_AQUATIQUE_2;STADE_AQUATIQUE_3;STADE_AQUATIQUE_4;REPRODUCTION_1;REPRODUCTION_2;REPRODUCTION_3;REPRODUCTION_4;REPRODUCTION_5;REPRODUCTION_6;REPRODUCTION_7;DISPERSION_1;DISPERSION_2;DISPERSION_3;DISPERSION_4;RESISTANCE_1;RESISTANCE_2;RESISTANCE_3;RESISTANCE_4;RESPIRATION_1;RESPIRATION_2;RESPIRATION_3;LOCOMOTION_1;LOCOMOTION_2;LOCOMOTION_3;LOCOMOTION_4;LOCOMOTION_5;LOCOMOTION_6;NOURRITURE_1;NOURRITURE_2;NOURRITURE_3;NOURRITURE_4;NOURRITURE_5;NOURRITURE_6;NOURRITURE_7;ALIMENTATION_1;ALIMENTATION_2;ALIMENTATION_3;ALIMENTATION_4;ALIMENTATION_5;ALIMENTATION_6;ALIMENTATION_7;TRANSVERSAL_1;TRANSVERSAL_2;TRANSVERSAL_3;TRANSVERSAL_4;TRANSVERSAL_5;TRANSVERSAL_6;LONGITUDINAL_1;LONGITUDINAL_2;LONGITUDINAL_3;LONGITUDINAL_4;LONGITUDINAL_5;LONGITUDINAL_6;LONGITUDINAL_7;LONGITUDINAL_8;ALTITUDE_1;ALTITUDE_2;ALTITUDE_3;SUBSTRAT_1;SUBSTRAT_2;SUBSTRAT_3;SUBSTRAT_4;SUBSTRAT_5;SUBSTRAT_6;SUBSTRAT_7;SUBSTRAT_8;SUBSTRAT_9;COURANT_1;COURANT_2;COURANT_3;COURANT_4;TROPHIE_1;TROPHIE_2;TROPHIE_3;SALINITE_1;SALINITE_2;TEMPERATURE_1;TEMPERATURE_2;TEMPERATURE_3;SAPROBIE_1;SAPROBIE_2;SAPROBIE_3;SAPROBIE_4;SAPROBIE_5;PH_1;PH_2;PH_3;PH_4;PH_5;PH_6;GROUPE_BIO;GROUPE_ECO;GROUPE_BIOECO;SPEAR_SENSIBILITE;SPEAR_CLASSE
3082;0;0;0;0.75;0.25;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.4;0;0;0.6;0.75;0.25;0;0;0.75;0;0.25;0;1;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.25;0.75;0;0;0;0;0;0;0;0;0;0.5;0.5;0;1;0;0;0.333333333;0;0;0;0.333333333;0;0.333333333;0;0;0.5;0.5;0;0;0;1;0;0.4;0.6;0;0.5;0.5;0;0;1;0;0;0;0;0;0;0;1;b;E;z;NA;NA
3083;0;0;0;0.75;0.25;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.4;0;0;0.6;0.75;0.25;0;0;0.75;0;0.25;0;1;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.25;0.75;0;0;0;0;0;0;0;0;0;0.5;0.5;0;1;0;0;0.333333333;0;0;0;0.333333333;0;0.333333333;0;0;0.5;0.5;0;0;0;1;0;0.4;0.6;0;0.5;0.5;0;0;1;0;0;0;0;0;0;0;1;b;E;z;NA;NA
3111;0;0;0.58796052;0;0.41203948;0.60300987;0.39699013;0.082407896;0.670368416;0.247223688;0.458796052;0.180401316;0;0.360802632;0;0;0;1;0;0;0;0.541203948;0.229398026;0.229398026;0;0;0.20601974;0.10300987;0.69097039;1;0;0;0;0.186265351;0.372530701;0;0;0.441203948;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.14699013;0.605786182;0.247223688;0;0;0;0.176588348;0.264715696;0.14699013;0.14699013;0.14699013;0;0;0.117725566;0.578316883;0.421683117;0;0.27099859;0.10300987;0.10300987;0;0.35499295;0;0;0;0.16798872;0.333333333;0.333333333;0.333333333;0;0.60802632;0.19598684;0.19598684;1;0;0.60802632;0.19598684;0.19598684;0;0;0;0;0;0;0;0;0;0;0;b;NA;NA;NA;NA
1054;0;0.104418633;0.438152939;0.457428427;0;0.191167058;0.808832942;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.721009196;0;0;0.278990804;0.169404319;0.830595681;0;0;0;0.92041618;0;0.07958382;1;0;0;0;0.080800451;0.840107723;0;0.079091826;0;0;0;0;0;0.068355497;0;0.931644503;0;0;0;0;0;1;0;0.152589889;0.327732488;0.1659493;0.024585616;0.04401432;0.285128386;0.114969906;0.16431497;0.162983475;0.151388711;0.130108009;0.099283894;0;0.176951035;0.603014107;0.249394194;0.147591699;0.450857153;0;0;0;0.163706913;0;0.137396948;0.218708927;0.029330058;0.284790509;0.412353796;0.24977906;0.053076635;0.293519963;0.37106924;0.335410797;0.825807718;0.174192282;0.358645293;0.241006824;0.400347883;0.101794454;0.349224489;0.405216153;0.143764904;0;0.059231071;0.103017374;0.124456411;0.211085834;0.231688472;0.270520838;c;NA;NA;-0.43;0
3326;0;0.104418633;0.438152939;0.457428427;0;0.191167058;0.808832942;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.721009196;0;0;0.278990804;0.169404319;0.830595681;0;0;0;0.92041618;0;0.07958382;1;0;0;0;0.080800451;0.840107723;0;0.079091826;0;0;0;0;0;0.068355497;0;0.931644503;0;0;0;0;0;1;0;0.152589889;0.327732488;0.1659493;0.024585616;0.04401432;0.285128386;0.114969906;0.16431497;0.162983475;0.151388711;0.130108009;0.099283894;0;0.176951035;0.603014107;0.249394194;0.147591699;0.450857153;0;0;0;0.163706913;0;0.137396948;0.218708927;0.029330058;0.284790509;0.412353796;0.24977906;0.053076635;0.293519963;0.37106924;0.335410797;0.825807718;0.174192282;0.358645293;0.241006824;0.400347883;0.101794454;0.349224489;0.405216153;0.143764904;0;0.059231071;0.103017374;0.124456411;0.211085834;0.231688472;0.270520838;c;NA;NA;-0.43;0
1061;0;0.093499685;0.647773336;0.258726979;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.716753584;0;0;0.283246416;0.22004416;0.77995584;0;0;0;1;0;0;1;0;0;0;0.053428391;0.801097776;0;0.145473833;0;0;0;0;0;0.093499685;0;0.906500315;0;0;0;0;0;1;0;0.185337328;0.276770291;0.093914185;0.050248464;0.088135936;0.305593797;0.211221639;0.241595414;0.142560861;0.074150148;0.047435952;0.047435952;0;0.235600034;0.515449159;0.327998595;0.156552245;0.412920433;0;0.043523367;0;0.143443169;0;0.217056458;0.183056573;0;0.154545739;0.338550114;0.37424831;0.132655837;0.581355903;0.269886395;0.148757702;0.906500315;0.093499685;0.700801009;0.149599495;0.149599495;0.106352129;0.453827716;0.33869184;0.101128314;0;0.041555415;0.065399894;0.147275528;0.21256352;0.254118935;0.279086708;c;NA;NA;-0.43;0
1068;0;0;0.4;0.6;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.75;0;0;0.25;0.333333333;0.666666667;0;0;1;0;0;0;1;0;0;0;0;0.8;0;0.2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.333333333;0.333333333;0;0;0;0.333333333;0.416666667;0.25;0.166666667;0;0;0;0;0.166666667;0.285714286;0.428571429;0.285714286;0.5;0;0;0;0;0;0.25;0.25;0;0.166666667;0.333333333;0.333333333;0.166666667;1;0;0;1;0;1;0;0;0.25;0.75;0;0;0;0;0.083333333;0.166666667;0.25;0.25;0.25;c;A;a;-0.43;0
1069;0;0;0.4;0.6;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.75;0;0;0.25;0.333333333;0.666666667;0;0;1;0;0;0;1;0;0;0;0;0.8;0;0.2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.333333333;0.333333333;0;0;0;0.333333333;0.416666667;0.25;0.166666667;0;0;0;0;0.166666667;0.285714286;0.428571429;0.285714286;0.5;0;0;0;0;0;0.25;0.25;0;0.166666667;0.333333333;0.333333333;0.166666667;1;0;0;1;0;1;0;0;0.25;0.75;0;0;0;0;0.083333333;0.166666667;0.25;0.25;0.25;c;A;a;-0.43;0
1070;0;0;0.5;0.5;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.5;0;0;0.5;0;1;0;0;1;0;0;0;1;0;0;0;0;0.8;0;0.2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.142857143;0.142857143;0;0.142857143;0.428571429;0.142857143;0.375;0.125;0;0;0;0;0;0.5;0.25;0.75;0;0.25;0;0.25;0;0;0;0.25;0.25;0;0;0;0.75;0.25;1;0;0;1;0;1;0;0;0.2;0.3;0.3;0.2;0;0;0;0.333333333;0.333333333;0.333333333;0;c;A;b;-0.43;0
3151;0;0;0.5;0.5;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.5;0;0;0.5;0;1;0;0;1;0;0;0;1;0;0;0;0;0.8;0;0.2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.142857143;0.142857143;0;0.142857143;0.428571429;0.142857143;0.375;0.125;0;0;0;0;0;0.5;0.25;0.75;0;0.25;0;0.25;0;0;0;0.25;0.25;0;0;0;0.75;0.25;1;0;0;1;0;1;0;0;0.2;0.3;0.3;0.2;0;0;0;0.333333333;0.333333333;0.333333333;0;c;A;b;-0.43;0
