;< 0.5 cm;> 0.5-1 cm;> 1-2 cm;> 2-4 cm;> 4 cm;< 1 year;> 1 year;< 1;1;> 1;egg;larva;nymph;adult;ovoviviparity;isolated eggs, free;isolated eggs, cemented;clutches, cemented or fixed;clutches, free;clutches, terrestrial/in vegetation;asexual reproduction;aquatic passive;aquatic active;aerial passive;aerial active;eggs, statoblasts;cocoons, housings;diapause or dormancy;none;tegument;gill;plastron, spiracle;flier;swimmer;crawler;burrower;interstitial;attached;microorganisms, detritus (< 1mm);dead plant (>= 1mm);living microphytes;living macrophytes;dead animal (>= 1mm);living microinvertebrates;large animals;absorber, deposit feeder;shredder;scraper;filter-feeder;piercer;predator;parasite;river channel;banks, connected side-arms;ponds, pools, disconnected side-arms;marshes, peat bogs;temporary waters;lakes;crenon;epirithron;metarithron;hyporithron;epipotamon;metapotamon;estuary;outside river system;lowlands;piedmont level;alpine level;flags/boulders/cobbles/pebbles;gravel;sand;silt;macrophytes;microphytes;twigs/roots;organic detritus/litter;mud;null;slow (< 25 cm/s);medium (25-50 cm</s);fast (> 50 cm/s);oligotrophic;mesotrophic;eutrophic;freshwater;brackish water;cold (< 15°C);warm (> 15°C);eurythermic;xenosaprobic;oligosaprobic;b-mesosaprobic;a-mesosaprobic;polysaprobic;< 4;> 4-4.5;> 4.5-5;> 5-5.5;> 5.5-6;> 6;;;;;
CODE_TAXON;TAILLE_1;TAILLE_2;TAILLE_3;TAILLE_4;TAILLE_5;LONGEVITE_1;LONGEVITE_2;VOLTINISME_1;VOLTINISME_2;VOLTINISME_3;STADE_AQUATIQUE_1;STADE_AQUATIQUE_2;STADE_AQUATIQUE_3;STADE_AQUATIQUE_4;REPRODUCTION_1;REPRODUCTION_2;REPRODUCTION_3;REPRODUCTION_4;REPRODUCTION_5;REPRODUCTION_6;REPRODUCTION_7;DISPERSION_1;DISPERSION_2;DISPERSION_3;DISPERSION_4;RESISTANCE_1;RESISTANCE_2;RESISTANCE_3;RESISTANCE_4;RESPIRATION_1;RESPIRATION_2;RESPIRATION_3;LOCOMOTION_1;LOCOMOTION_2;LOCOMOTION_3;LOCOMOTION_4;LOCOMOTION_5;LOCOMOTION_6;NOURRITURE_1;NOURRITURE_2;NOURRITURE_3;NOURRITURE_4;NOURRITURE_5;NOURRITURE_6;NOURRITURE_7;ALIMENTATION_1;ALIMENTATION_2;ALIMENTATION_3;ALIMENTATION_4;ALIMENTATION_5;ALIMENTATION_6;ALIMENTATION_7;TRANSVERSAL_1;TRANSVERSAL_2;TRANSVERSAL_3;TRANSVERSAL_4;TRANSVERSAL_5;TRANSVERSAL_6;LONGITUDINAL_1;LONGITUDINAL_2;LONGITUDINAL_3;LONGITUDINAL_4;LONGITUDINAL_5;LONGITUDINAL_6;LONGITUDINAL_7;LONGITUDINAL_8;ALTITUDE_1;ALTITUDE_2;ALTITUDE_3;SUBSTRAT_1;SUBSTRAT_2;SUBSTRAT_3;SUBSTRAT_4;SUBSTRAT_5;SUBSTRAT_6;SUBSTRAT_7;SUBSTRAT_8;SUBSTRAT_9;COURANT_1;COURANT_2;COURANT_3;COURANT_4;TROPHIE_1;TROPHIE_2;TROPHIE_3;SALINITE_1;SALINITE_2;TEMPERATURE_1;TEMPERATURE_2;TEMPERATURE_3;SAPROBIE_1;SAPROBIE_2;SAPROBIE_3;SAPROBIE_4;SAPROBIE_5;PH_1;PH_2;PH_3;PH_4;PH_5;PH_6;GROUPE_BIO;GROUPE_ECO;GROUPE_BIOECO;SPEAR_SENSIBILITE;SPEAR_CLASSE
3140;0;0;0;0.300950748;0.699049252;0.097314198;0.902685802;0.134472373;0.865527627;0;0.343123199;0.343123199;0;0.313753603;0.603081779;0;0;0.396918221;0;0;0;0.172241381;0.827758619;0;0;0.085802238;0;0.085802238;0.828395523;0;1;0;0;0.41254331;0.444472023;0.142984667;0;0;0.054285395;0.352616806;0;0.186793843;0.045142459;0.077878113;0.283283383;0.011770286;0.567288625;0.16415395;0;0;0.256787139;0;0.045673377;0.31342083;0.219497376;0.188839693;0.062946564;0.169622159;0;0.121761609;0.163064113;0.103394884;0.170097525;0.209753812;0;0.231928056;0.955244235;0.044755765;0;0.304415462;0.028709035;0.011807005;0.095618803;0.518933655;0;0.028709035;0;0.011807005;0.381174376;0.370954459;0.193792654;0.054078511;0.336790652;0.35022189;0.312987458;0.887910419;0.112089581;0.136771531;0.151265102;0.711963367;0.037417211;0.142796605;0.487683422;0.332102761;0;0;0;0.025291049;0.025291049;0.173192849;0.776225052;NA;NA;NA;NA;NA
864;0;0;0;0;1;0;1;0.407079827;0.592920173;0;0.350294993;0.350294993;0;0.299410014;0.516741746;0;0;0.483258254;0;0;0;0;1;0;0;0.203539913;0;0.203539913;0.592920173;0;1;0;0;0.162680537;0.650722146;0.186597317;0;0;0;0.163596186;0;0.33111645;0.090462184;0.070917119;0.343908062;0.041854366;0.704235819;0;0;0;0.253909815;0;0;0.442550271;0.371633153;0;0;0.185816576;0;0.304755241;0.328672021;0.154209238;0.02391678;0;0;0.188446719;0.893624322;0.106375678;0;0.434332305;0.081415965;0.041854366;0;0.319127033;0;0.081415965;0;0.041854366;0.066966985;0.347564978;0.449774761;0.135693276;0.958145634;0.041854366;0;0.958145634;0.041854366;0.300053717;0.137221786;0.562724497;0.354292209;0.427146104;0.145707791;0.072853896;0;0;0;0.25;0.25;0.25;0.25;b;NA;NA;NA;NA
865;0;0;0;0;1;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0.6;0;0;0.4;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.142857143;0.571428571;0.285714286;0;0;0;0.166666667;0;0.166666667;0;0;0.666666666;0.25;0.25;0;0;0;0.5;0;0;0.4;0.4;0;0;0.2;0;0.142857143;0.285714286;0.285714286;0.142857143;0;0;0.142857143;1;0;0;0.5;0;0.25;0;0;0;0;0;0.25;0.4;0.4;0.2;0;0.75;0.25;0;0.75;0.25;0.333333333;0.333333333;0.333333333;0;0.25;0.5;0.25;0;0;0;0.25;0.25;0.25;0.25;b;D;g;NA;NA
866;0;0;0;0;1;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0.6;0;0;0.4;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.142857143;0.571428571;0.285714286;0;0;0;0.166666667;0;0.166666667;0;0;0.666666666;0.25;0.25;0;0;0;0.5;0;0;0.4;0.4;0;0;0.2;0;0.142857143;0.285714286;0.285714286;0.142857143;0;0;0.142857143;1;0;0;0.5;0;0.25;0;0;0;0;0;0.25;0.4;0.4;0.2;0;0.75;0.25;0;0.75;0.25;0.333333333;0.333333333;0.333333333;0;0.25;0.5;0.25;0;0;0;0.25;0.25;0.25;0.25;b;D;g;NA;NA
867;0;0;0;0;1;0;1;1;0;0;0.375;0.375;0;0.25;0.5;0;0;0.5;0;0;0;0;1;0;0;0.5;0;0.5;0;0;1;0;0;0.166666667;0.666666667;0.166666667;0;0;0;0.333333333;0;0.222222222;0.222222222;0;0.222222222;0;1;0;0;0;0;0;0;0.4;0.4;0;0;0.2;0;0.428571429;0.428571429;0;0;0;0;0.142857143;1;0;0;0.6;0.2;0;0;0;0;0.2;0;0;0;0.166666667;0.5;0.333333333;1;0;0;1;0;0.6;0.2;0.2;0.5;0.5;0;0;0;0;0;0;0;0;0;b;B;a;NA;NA
868;0;0;0;0;1;0;1;1;0;0;0.375;0.375;0;0.25;0.5;0;0;0.5;0;0;0;0;1;0;0;0.5;0;0.5;0;0;1;0;0;0.166666667;0.666666667;0.166666667;0;0;0;0.333333333;0;0.222222222;0.222222222;0;0.222222222;0;1;0;0;0;0;0;0;0.4;0.4;0;0;0.2;0;0.428571429;0.428571429;0;0;0;0;0.142857143;1;0;0;0.6;0.2;0;0;0;0;0.2;0;0;0;0.166666667;0.5;0.333333333;1;0;0;1;0;0.6;0.2;0.2;0.5;0.5;0;0;0;0;0;0;0;0;0;b;B;a;NA;NA
872;0;0;0;0;1;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.166666667;0.666666667;0.166666667;0;0;0;0;0;0.5;0;0.166666667;0.333333333;0;0.6;0;0;0;0.4;0;0;0.5;0.333333333;0;0;0.166666667;0;0.25;0.25;0.25;0;0;0;0.25;0.75;0.25;0;0.25;0;0;0;0.75;0;0;0;0;0;0.5;0.5;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;b;D;d;NA;NA
873;0;0;0;0;1;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.166666667;0.666666667;0.166666667;0;0;0;0;0;0.5;0;0.166666667;0.333333333;0;0.6;0;0;0;0.4;0;0;0.5;0.333333333;0;0;0.166666667;0;0.25;0.25;0.25;0;0;0;0.25;0.75;0.25;0;0.25;0;0;0;0.75;0;0;0;0;0;0.5;0.5;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;b;D;d;NA;NA
860;0;0;0;1;0;0.25;0.75;0;1;0;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0.2;0.6;0;0;0;0.2;0;0;0.75;0.25;0;0;0;0;0.090909091;0.272727273;0.090909091;0.272727273;0.090909091;0.181818182;0;0;0;0;0.285714286;0.428571429;0;0.285714286;1;0;0;0.25;0;0;0;0.75;0;0;0;0;0.6;0.4;0;0;0;0.4;0.6;0.75;0.25;0;0.25;0.75;0;0.2;0.6;0.2;0;0;0;0;0;0.25;0.75;b;F;g;NA;NA
861;0;0;0;1;0;0.25;0.75;0;1;0;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0.2;0.6;0;0;0;0.2;0;0;0.75;0.25;0;0;0;0;0.090909091;0.272727273;0.090909091;0.272727273;0.090909091;0.181818182;0;0;0;0;0.285714286;0.428571429;0;0.285714286;1;0;0;0.25;0;0;0;0.75;0;0;0;0;0.6;0.4;0;0;0;0.4;0.6;0.75;0.25;0;0.25;0.75;0;0.2;0.6;0.2;0;0;0;0;0;0.25;0.75;b;F;g;NA;NA
862;0;0;0;1;0;0.25;0.75;0;1;0;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0.2;0.6;0;0;0;0.2;0;0;0.75;0.25;0;0;0;0;0.090909091;0.272727273;0.090909091;0.272727273;0.090909091;0.181818182;0;0;0;0;0.285714286;0.428571429;0;0.285714286;1;0;0;0.25;0;0;0;0.75;0;0;0;0;0.6;0.4;0;0;0;0.4;0.6;0.75;0.25;0;0.25;0.75;0;0.2;0.6;0.2;0;0;0;0;0;0.25;0.75;b;F;g;NA;NA
2024;0;0;0;0;1;0;1;0;1;0;0.348052011;0.348052011;0;0.303895977;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.129350346;0.605713451;0.264936203;0;0;0;0.323375865;0;0.211948962;0;0;0.464675173;0;0.392208045;0.21558391;0;0;0.392208045;0;0;0.258700692;0.329350346;0.211948962;0.070649654;0.129350346;0;0.064675173;0.129350346;0.129350346;0.129350346;0.129350346;0;0.417923443;1;0;0;0.184786208;0;0;0.184786208;0.630427583;0;0;0;0;0.56883218;0.323375865;0.107791955;0;0.258700692;0.476363105;0.264936203;1;0;0;0;1;0;0;0.388051038;0.611948962;0;0;0;0;0;0;1;b;NA;NA;NA;NA
870;0;0;0;0;1;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.2;0.8;0;0;0;0;0.5;0;0;0;0;0.5;0;0.333333333;0.333333333;0;0;0.333333333;0;0;0.4;0.4;0;0;0.2;0;0.1;0.2;0.2;0.2;0.2;0;0.1;1;0;0;0.285714286;0;0;0.285714286;0.428571429;0;0;0;0;0.333333333;0.5;0.166666667;0;0.4;0.6;0;1;0;0;0;1;0;0;0.6;0.4;0;0;0;0;0;0;1;b;E;g;NA;NA
871;0;0;0;0;1;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.2;0.8;0;0;0;0;0.5;0;0;0;0;0.5;0;0.333333333;0.333333333;0;0;0.333333333;0;0;0.4;0.4;0;0;0.2;0;0.1;0.2;0.2;0.2;0.2;0;0.1;1;0;0;0.285714286;0;0;0.285714286;0.428571429;0;0;0;0;0.333333333;0.5;0.166666667;0;0.4;0.6;0;1;0;0;0;1;0;0;0.6;0.4;0;0;0;0;0;0;1;b;E;g;NA;NA
2027;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0.25;0.75;0;0;0;0;0;0.6;0;0;0.4;0;0.5;0;0;0;0.5;0;0;0;0.2;0.6;0.2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0.25;0.75;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;b;G;d;NA;NA
2028;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;0.5;0;0;0.5;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0.25;0.75;0;0;0;0;0;0.6;0;0;0.4;0;0.5;0;0;0;0.5;0;0;0;0.2;0.6;0.2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0.25;0.75;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;b;G;d;NA;NA
878;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.142857143;0.428571429;0.428571429;0;0;0;0;0;0.428571429;0;0;0.571428572;0;0.5;0;0;0;0.5;0;0;0.6;0.4;0;0;0;0;0;0;0;0.25;0.375;0.375;0;1;0;0;0.4;0;0.2;0;0.4;0;0;0;0;0.6;0.4;0;0;0;0;1;0.4;0.6;0.333333333;0;0.666666667;0;0;0;0;0;0;0;0;0;0;0;c;F;g;NA;NA
879;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.142857143;0.428571429;0.428571429;0;0;0;0;0;0.428571429;0;0;0.571428572;0;0.5;0;0;0;0.5;0;0;0.6;0.4;0;0;0;0;0;0;0;0.25;0.375;0.375;0;1;0;0;0.4;0;0.2;0;0.4;0;0;0;0;0.6;0.4;0;0;0;0;1;0.4;0.6;0.333333333;0;0.666666667;0;0;0;0;0;0;0;0;0;0;0;c;F;g;NA;NA
874;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0.4;0.6;0;0;0;0.25;0;0.125;0.25;0;0.375;0;0.5;0;0;0;0.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0.375;0;0;0;0.375;0;0;0.25;0;0.6;0.4;0;0;1;0;0;0.6;0.4;0;0.6;0.4;0;0;0;0;0;0;0;0;0;0;0;b;F;g;NA;NA
875;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0.4;0.6;0;0;0;0.25;0;0.125;0.25;0;0.375;0;0.5;0;0;0;0.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0.375;0;0;0;0.375;0;0;0.25;0;0.6;0.4;0;0;1;0;0;0.6;0.4;0;0.6;0.4;0;0;0;0;0;0;0;0;0;0;0;b;F;g;NA;NA
3297;0;0;0;0;1;0;1;0;1;0;0.375;0.375;0;0.25;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0.4;0.6;0;0;0;0.25;0;0.125;0.25;0;0.375;0;0.5;0;0;0;0.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0.375;0;0;0;0.375;0;0;0.25;0;0.6;0.4;0;0;1;0;0;0.6;0.4;0;0.6;0.4;0;0;0;0;0;0;0;0;0;0;0;b;F;g;NA;NA
9999;0;0.496196942;0.503803058;0;0;0.501901529;0.498098471;0;0.291349745;0.708650255;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0.5;0;1;0;0;0;0.6;0;0.4;0;0.166666667;0.5;0.166666667;0.166666667;0;0;0;0;1;0;0;0;0;0;0.265121327;0.34262949;0.215501633;0;0.099239388;0.077508163;0.169303298;0.169303298;0.098418021;0.098418021;0.098418021;0.098418021;0.098418021;0.169303298;1;0;0;0.029635474;0.178494557;0.029635474;0;0.346656147;0.237765505;0.059270948;0.088906422;0.029635474;0.5;0.41730051;0.08269949;0;0.183206565;0.549619694;0.267173741;0.674429541;0.325570459;0;0;1;0;0;0.291983588;0.624049236;0.083967176;0.090909091;0.090909091;0.136017904;0.181818182;0.22761846;0.272727273;NA;NA;NA;NA;NA
880;0;0.488590826;0.511409174;0;0;0.505704587;0.494295413;0;0.290715902;0.709284098;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0.5;0;1;0;0;0;0.6;0;0.4;0;0.166666667;0.5;0.166666667;0.166666667;0;0;0;0;1;0;0;0;0;0;0.26459475;0.343273084;0.215735667;0;0.097718165;0.078678334;0.168624181;0.168624181;0.098825491;0.098825491;0.098825491;0.098825491;0.098825491;0.168624181;1;0;0;0.030082893;0.17666014;0.030082893;0;0.345850793;0.236825926;0.060165785;0.090248678;0.030082893;0.5;0.418568196;0.081431804;0;0.182953028;0.548859083;0.26818789;0.673288624;0.326711376;0;0;1;0;0;0.292617431;0.622147707;0.085234862;0.090909091;0.090909091;0.135326439;0.181818182;0.228309925;0.272727273;e;F;g;-0.56;0
881;0;0;1;0;0;0.75;0.25;0;0.25;0.75;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0.5;0;1;0;0;0;0.6;0;0.4;0;0.166666667;0.5;0.166666667;0.166666667;0;0;0;0;1;0;0;0;0;0;0.230769231;0.384615385;0.230769231;0;0;0.153846154;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;1;0;0;0.058823529;0.058823529;0.058823529;0;0.294117647;0.176470588;0.117647059;0.176470588;0.058823529;0.5;0.5;0;0;0.166666667;0.5;0.333333333;0.6;0.4;0;0;1;0;0;0.333333333;0.5;0.166666667;0.090909091;0.090909091;0.090909091;0.181818182;0.272727273;0.272727273;e;F;g;-0.56;0
882;0;0;1;0;0;0.75;0.25;0;0.25;0.75;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0.5;0;1;0;0;0;0.6;0;0.4;0;0.166666667;0.5;0.166666667;0.166666667;0;0;0;0;1;0;0;0;0;0;0.230769231;0.384615385;0.230769231;0;0;0.153846154;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;1;0;0;0.058823529;0.058823529;0.058823529;0;0.294117647;0.176470588;0.117647059;0.176470588;0.058823529;0.5;0.5;0;0;0.166666667;0.5;0.333333333;0.6;0.4;0;0;1;0;0;0.333333333;0.5;0.166666667;0.090909091;0.090909091;0.090909091;0.181818182;0.272727273;0.272727273;e;F;g;-0.37;0
883;0;1;0;0;0;0.25;0.75;0;0.333333333;0.666666667;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0.5;0;1;0;0;0;0.6;0;0.4;0;0.166666667;0.5;0.166666667;0.166666667;0;0;0;0;1;0;0;0;0;0;0.3;0.3;0.2;0;0.2;0;0.214285714;0.214285714;0.071428571;0.071428571;0.071428571;0.071428571;0.071428571;0.214285714;1;0;0;0;0.3;0;0;0.4;0.3;0;0;0;0.5;0.333333333;0.166666667;0;0.2;0.6;0.2;0.75;0.25;0;0;1;0;0;0.25;0.75;0;0.090909091;0.090909091;0.181818182;0.181818182;0.181818182;0.272727273;e;F;g;-0.56;0
885;0;1;0;0;0;0.25;0.75;0;0.333333333;0.666666667;0.333333333;0.333333333;0;0.333333333;1;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0.5;0;1;0;0;0;0.6;0;0.4;0;0.166666667;0.5;0.166666667;0.166666667;0;0;0;0;1;0;0;0;0;0;0.3;0.3;0.2;0;0.2;0;0.214285714;0.214285714;0.071428571;0.071428571;0.071428571;0.071428571;0.071428571;0.214285714;1;0;0;0;0.3;0;0;0.4;0.3;0;0;0;0.5;0.333333333;0.166666667;0;0.2;0.6;0.2;0.75;0.25;0;0;1;0;0;0.25;0.75;0;0.090909091;0.090909091;0.181818182;0.181818182;0.181818182;0.272727273;e;F;g;-0.56;0
5096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
5097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
5099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
3141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
3270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
4324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
4334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
4210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA
348;0.036525652;0.465248924;0.45426938;0.043956044;0;0.910377222;0.089622778;0.086779273;0.675695218;0.23752551;0.5;0.5;0;0;0.020789188;0.186519249;0.499889696;0.275935816;0;0.016866052;0;0.299249095;0.213387826;0.148231644;0.339131435;0.406822353;0;0.130350906;0.462826741;0.277472527;0.722527473;0;0;0.257073023;0.620645979;0.074638053;0.047642944;0;0.319593028;0.187961589;0.348726287;0.073801579;0.02900166;0.021276962;0.019638896;0.268387352;0.214883263;0.458558996;0.029434851;0;0.028735539;0;0.375442554;0.36594236;0.049376071;0.0143159;0.0521163;0.142806816;0.071496652;0.151191695;0.199758103;0.206812952;0.17713411;0.093428194;0.001823613;0.098354681;0.655052643;0.248305326;0.09664203;0.289944705;0.107599664;0.117149174;0.058552573;0.172764039;0;0.107634176;0.086266646;0.060089024;0.138041638;0.378030101;0.302840105;0.181088156;0.309319079;0.49290246;0.197778461;0.925802472;0.074197528;0.068934079;0.073389137;0.857676784;0.100475881;0.314570031;0.425575261;0.159378827;0;0.025069327;0.035123961;0.05518121;0.132588796;0.242024805;0.510011901;NA;NA;NA;-0.3;1
473;0;0.675114035;0.324885965;0;0;1;0;0;0.971986236;0.028013764;0.5;0.5;0;0;0;0.08974415;0.634845229;0.275410621;0;0;0;0.290228284;0.199465487;0.199465487;0.310840743;0.205405234;0;0.06068197;0.733912796;0.25;0.75;0;0;0.127819279;0.725288154;0.090271697;0.056620871;0;0.399072423;0.222969595;0.377957982;0;0;0;0;0.285312172;0.470050591;0.244637237;0;0;0;0;0.13931109;0.577913347;0.127105601;0.011624872;0.034874616;0.109170474;0.039136803;0.137511021;0.263901977;0.245839672;0.133104375;0.045723512;0;0.134782641;0.633235834;0.287762131;0.079002035;0.194391125;0.091773373;0.095376818;0.044646435;0.168333662;0;0.170379989;0.188286487;0.046812111;0.192859031;0.564328427;0.242812542;0;0.384891435;0.485028044;0.130080521;1;0;0;0;1;0.037565539;0.434842455;0.384521611;0.143070395;0;0.009687393;0.009687393;0.035129935;0.054504722;0.275442541;0.615548015;f;NA;NA;-0.3;1
474;0;1;0;0;0;1;0;0;0.75;0.25;0.5;0.5;0;0;0;0;1;0;0;0;0;0.25;0.25;0.25;0.25;0.75;0;0;0.25;0.25;0.75;0;0;0;1;0;0;0;0.428571429;0.142857143;0.428571429;0;0;0;0;0.5;0.333333333;0.166666667;0;0;0;0;0;0.75;0;0;0;0.25;0;0;0.2;0.3;0.3;0.1;0;0.1;1;0;0;0.181818182;0;0.181818182;0.181818182;0.181818182;0;0.181818182;0.090909091;0;0.25;0.75;0;0;0.25;0.25;0.5;1;0;0;0;1;0;0;0.666666667;0.333333333;0;0;0;0;0;0.25;0.75;f;E;g;-0.3;1
