"tax_a_garder"
"AMPH"
"ACHN"
"AMPO"
"AULA"
"ACHD"
"ADLF"
"ACTP"
"ACTN"
"ANOM"
"ASTE"
"ACTC"
"ANEU"
"AMPI"
"BELO"
"BRAC"
"BIDU"
"BACI"
"BERK"
"CALO"
"CYMB"
"CYCL"
"CRAT"
"CERA"
"CBPL"
"CYMT"
"CAVI"
"CAPA"
"CCST"
"COCO"
"CYMA"
"CHAM"
"CPLD"
"CHAE"
"CRTU"
"COSC"
"COSM"
"CTNP"
"COCB"
"DIAT"
"DIAM"
"DLCA"
"DIPL"
"ZZZZ"
"DISC"
"DENT"
"DELP"
"EPIT"
"ENTO"
"EUNO"
"ENCP"
"ELLE"
"EOLI"
"ENCY"
"EUCO"
"FRAG"
"FRUS"
"FALL"
"FRAF"
"FITU"
"GEIS"
"GOMP"
"GNEI"
"GYRO"
"GOPP"
"GRNO"
"HANN"
"HANT"
"HALA"
"HIPO"
"HAND"
"HYDR"
"KARA"
"KOLB"
"LUTI"
"LEMN"
"MAYA"
"MELO"
"MERI"
"MART"
"NITZ"
"NAVI"
"NIDI"
"NEID"
"NADI"
"NDMP"
"NEOF"
"NAVG"
"NUPE"
"OPEP"
"PINU"
"PLTD"
"PARL"
"PSMT"
"PSST"
"PLAC"
"PERO"
"PFLC"
"PRES"
"PLEU"
"PTSA"
"PSDS"
"PUNT"
"PLSG"
"PARA"
"PUNC"
"PULC"
"RHOI"
"RAPH"
"ROSS"
"RHOP"
"REIM"
"SYNE"
"STEP"
"SELL"
"STAU"
"SURI"
"STRS"
"SYDL"
"STFO"
"SIMO"
"STEN"
"SKEL"
"STRL"
"SMNA"
"STPH"
"SCHZ"
"TRYB"
"THAL"
"TABE"
"TABU"
"THNM"
"ULNA"
"GPMO"
"DIDY"
"MCCT"
"FRAN"
"PSDT"
"GERM"
"ORTO"
"TETR"
"ASTT"
"CATN"
"MUEL"
"THCY"
"ACTD"
"AMIL"
"BREB"
"CPLS"
"CAPP"
"EUTO"
"GCYM"
"GRAM"
"HASL"
"KOBL"
"MAST"
"PTER"
"PLGG"
"TRAC"
"DTRN"
"GENK"
"COLL"
"NVCB"
"APRT"
"PSRP"
"GCYP"
